id,status_name,date_column,filled
388,Approved,phase_2_cmpltns_rvw_dt,1
388,Approved,phase_2_rcvd_dt,1
392,Approved,mdcd_demo_aplctn_stus_dt,1
392,Approved,phase_2_cmpltns_rvw_dt,1
392,Approved,phase_2_rcvd_dt,1
399,Approved,mdcd_demo_aplctn_stus_dt,1
399,Approved,phase_2_cmpltns_rvw_dt,1
399,Approved,phase_2_rcvd_dt,1
408,Approved,mdcd_demo_aplctn_stus_dt,1
408,Approved,phase_2_cmpltns_rvw_dt,1
408,Approved,phase_2_rcvd_dt,1
411,Under Review,mdcd_demo_aplctn_stus_dt,1
411,Under Review,phase_2_dsrd_aprvl_dt,1
411,Under Review,phase_2_cmpltns_rvw_dt,1
411,Under Review,phase_2_rcvd_dt,1
413,Approved,mdcd_demo_aplctn_stus_dt,1
413,Approved,phase_2_cmpltns_rvw_dt,1
413,Approved,phase_2_rcvd_dt,1
415,Approved,mdcd_demo_aplctn_stus_dt,1
415,Approved,phase_2_cmpltns_rvw_dt,1
415,Approved,phase_2_rcvd_dt,1
416,Approved,mdcd_demo_aplctn_stus_dt,1
416,Approved,phase_2_cmpltns_rvw_dt,1
416,Approved,phase_2_rcvd_dt,1
419,Approved,mdcd_demo_aplctn_stus_dt,1
419,Approved,phase_2_cmpltns_rvw_dt,1
419,Approved,phase_2_rcvd_dt,1
420,Under Review,mdcd_demo_aplctn_stus_dt,1
422,Under Review,mdcd_demo_aplctn_stus_dt,1
422,Under Review,phase_2_dsrd_aprvl_dt,1
422,Under Review,phase_2_cmpltns_rvw_dt,1
422,Under Review,phase_2_rcvd_dt,1
424,Approved,mdcd_demo_aplctn_stus_dt,1
424,Approved,phase_2_cmpltns_rvw_dt,1
424,Approved,phase_2_rcvd_dt,1
427,Under Review,mdcd_demo_aplctn_stus_dt,1
427,Under Review,phase_2_fed_cmt_prd_strt_dt,1
427,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
427,Under Review,phase_2_fed_cmt_prd_end_dt,1
427,Under Review,phase_2_cmpltns_rvw_dt,1
427,Under Review,phase_2_rcvd_dt,1
431,Under Review,mdcd_demo_aplctn_stus_dt,1
435,Under Review,mdcd_demo_aplctn_stus_dt,1
437,Approved,mdcd_demo_aplctn_stus_dt,1
437,Approved,phase_2_fed_cmt_prd_strt_dt,1
437,Approved,phase_3_a_sme_end_dt,1
437,Approved,phase_2_state_aplctn_deemd_cmpltn_dt,1
437,Approved,phase_3_a_sme_strt_dt,1
437,Approved,phase_2_fed_cmt_prd_end_dt,1
437,Approved,phase_2_cmpltns_rvw_dt,1
437,Approved,phase_2_rcvd_dt,1
441,Under Review,mdcd_demo_aplctn_stus_dt,1
441,Under Review,phase_2_cmpltns_rvw_dt,1
441,Under Review,phase_2_rcvd_dt,1
444,Approved,mdcd_demo_aplctn_stus_dt,1
444,Approved,phase_3_c_ogc_strt_dt,1
444,Approved,phase_2_dsrd_aprvl_dt,1
444,Approved,phase_5_strt_dt,1
444,Approved,phase_3_b_ogc_strt_dt,1
444,Approved,phase_3_b_omb_strt_dt,1
444,Approved,phase_3_b_omb_end_dt,1
444,Approved,phase_3_a_sme_end_dt,1
444,Approved,phase_3_b_ogc_end_dt,1
444,Approved,phase_6_strt_dt,1
444,Approved,phase_3_a_sme_strt_dt,1
444,Approved,phase_3_c_omb_strt_dt,1
444,Approved,phase_3_c_omb_end_dt,1
444,Approved,phase_3_c_ogc_end_dt,1
444,Approved,phase_2_rcvd_dt,1
445,Under Review,mdcd_demo_aplctn_stus_dt,1
445,Under Review,phase_2_fed_cmt_prd_end_dt,1
445,Under Review,phase_2_fed_cmt_prd_strt_dt,1
445,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
445,Under Review,phase_2_cmpltns_rvw_dt,1
445,Under Review,phase_2_rcvd_dt,1
445,Under Review,phase_1_end_dt,1
445,Under Review,phase_1_strt_dt,1
452,Under Review,mdcd_demo_aplctn_stus_dt,1
454,Under Review,mdcd_demo_aplctn_stus_dt,1
454,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
454,Under Review,phase_3_a_frvt_end_dt,1
454,Under Review,phase_2_dsrd_aprvl_dt,1
454,Under Review,phase_2_fed_cmt_prd_strt_dt,1
454,Under Review,phase_3_a_frvt_strt_dt,1
454,Under Review,phase_3_a_sme_end_dt,1
454,Under Review,phase_3_a_sme_strt_dt,1
454,Under Review,phase_2_fed_cmt_prd_end_dt,1
454,Under Review,phase_2_cmpltns_rvw_dt,1
454,Under Review,phase_2_rcvd_dt,1
454,Under Review,phase_1_end_dt,1
454,Under Review,phase_1_strt_dt,1
455,Under Review,mdcd_demo_aplctn_stus_dt,1
455,Under Review,phase_2_fed_cmt_prd_end_dt,1
455,Under Review,phase_2_fed_cmt_prd_strt_dt,1
455,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
455,Under Review,phase_2_cmpltns_rvw_dt,1
455,Under Review,phase_2_rcvd_dt,1
463,Under Review,mdcd_demo_aplctn_stus_dt,1
465,Indefinite Hold,mdcd_demo_aplctn_stus_dt,1
465,Indefinite Hold,phase_2_fed_cmt_prd_end_dt,1
465,Indefinite Hold,phase_2_fed_cmt_prd_strt_dt,1
465,Indefinite Hold,phase_2_state_aplctn_deemd_cmpltn_dt,1
465,Indefinite Hold,phase_2_cmpltns_rvw_dt,1
465,Indefinite Hold,phase_2_rcvd_dt,1
468,Under Review,mdcd_demo_aplctn_stus_dt,1
468,Under Review,phase_2_fed_cmt_prd_strt_dt,1
468,Under Review,phase_2_fed_cmt_prd_end_dt,1
468,Under Review,phase_3_a_sme_strt_dt,1
468,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
468,Under Review,phase_2_cmpltns_rvw_dt,1
468,Under Review,phase_2_rcvd_dt,1
