id,date_column,filled
14,phase_2_rcvd_dt,1
15,mdcd_demo_aplctn_stus_dt,1
15,phase_2_state_aplctn_deemd_cmpltn_dt,1
15,phase_2_fed_cmt_prd_strt_dt,1
15,phase_2_cmpltns_rvw_dt,1
15,phase_2_fed_cmt_prd_end_dt,1
15,phase_2_rcvd_dt,1
16,mdcd_demo_aplctn_stus_dt,1
16,phase_4_end_dt,1
16,phase_5_strt_dt,1
16,phase_3_b_ogc_end_dt,1
16,phase_2_state_aplctn_deemd_cmpltn_dt,1
16,phase_3_a_sme_strt_dt,1
16,phase_3_b_omb_strt_dt,1
16,phase_3_c_ogc_strt_dt,1
16,phase_3_c_omb_strt_dt,1
16,phase_3_b_cmcs_strt_dt,1
16,phase_3_c_omb_end_dt,1
16,phase_3_b_ogc_strt_dt,1
16,phase_2_cmpltns_rvw_dt,1
16,phase_4_strt_dt,1
16,phase_2_rcvd_dt,1
16,phase_1_strt_dt,1
17,mdcd_demo_aplctn_stus_dt,1
17,phase_2_state_aplctn_deemd_cmpltn_dt,1
17,phase_2_cmpltns_rvw_dt,1
17,phase_2_rcvd_dt,1
17,phase_1_strt_dt,1
17,phase_1_end_dt,1
18,mdcd_demo_aplctn_stus_dt,1
18,phase_2_fed_cmt_prd_strt_dt,1
18,phase_3_b_omb_strt_dt,1
18,phase_2_state_aplctn_deemd_cmpltn_dt,1
18,phase_3_b_ogc_strt_dt,1
18,phase_2_fed_cmt_prd_end_dt,1
18,phase_2_rcvd_dt,1
19,mdcd_demo_aplctn_stus_dt,1
19,phase_2_fed_cmt_prd_strt_dt,1
19,phase_2_state_aplctn_deemd_cmpltn_dt,1
19,phase_2_cmpltns_rvw_dt,1
19,phase_2_dsrd_aprvl_dt,1
19,phase_2_fed_cmt_prd_end_dt,1
19,phase_2_rcvd_dt,1
20,mdcd_demo_aplctn_stus_dt,1
20,phase_3_c_ogc_strt_dt,1
20,phase_3_c_omb_strt_dt,1
20,phase_3_b_ogc_strt_dt,1
20,phase_3_b_cmcs_strt_dt,1
20,phase_2_fed_cmt_prd_strt_dt,1
20,phase_3_b_omb_end_dt,1
20,phase_2_state_aplctn_deemd_cmpltn_dt,1
20,phase_3_a_sme_end_dt,1
20,phase_3_b_ogc_end_dt,1
20,phase_3_a_sme_strt_dt,1
20,phase_3_b_omb_strt_dt,1
20,phase_2_cmpltns_rvw_dt,1
20,phase_2_fed_cmt_prd_end_dt,1
20,phase_2_rcvd_dt,1
21,mdcd_demo_aplctn_stus_dt,1
21,phase_2_state_aplctn_deemd_cmpltn_dt,1
21,phase_2_fed_cmt_prd_strt_dt,1
21,phase_2_cmpltns_rvw_dt,1
21,phase_2_dsrd_aprvl_dt,1
21,phase_2_rcvd_dt,1
22,phase_6_end_dt,1
22,mdcd_demo_aplctn_stus_dt,1
22,phase_2_state_aplctn_deemd_cmpltn_dt,1
22,phase_3_b_cmcs_strt_dt,1
