from_table_qual,from_column,to_table,to_column,confidence,notes,source,prisma_status
mysql_raw.spcl_term_and_cond_fil_bkmrk_cart,spcl_term_and_cond_doc_bkmrk_id,spcl_term_and_cond_doc_bkmrk,spcl_term_and_cond_doc_bkmrk_id,HIGH,,sql,sql_only
mysql_raw.spcl_term_and_cond_fil_bkmrk_cart,spcl_term_and_cond_tmplt_sect_id,spcl_term_and_cond_tmplt_sect,spcl_term_and_cond_tmplt_sect_id,HIGH,,sql,sql_only
mysql_raw.spcl_term_and_cond_fil_bkmrk_cart,user_id,,id,LOW,,sql,sql_only
mysql_raw.spcl_term_and_cond_fil_bkmrk_cart_hstry,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
mysql_raw.spcl_term_and_cond_fil_bkmrk_cart_hstry,proj_ofcr_user_id,,id,LOW,,sql,sql_only
mysql_raw.spcl_term_and_cond_fil_bkmrk_cart_hstry,tchncl_drctr_user_id,,id,LOW,,sql,sql_only
mysql_raw.spcl_term_and_cond_tmplt_sect,spcl_term_and_cond_tmplt_id,spcl_term_and_cond_tmplt,spcl_term_and_cond_tmplt_id,HIGH,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,anlyst_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,bkup_proj_ofcr_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,creatd_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,cst_shrng_type_cd,cst_shrng_type_rfrnc,cst_shrng_type_cd,HIGH,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,dltd_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,fundng_pool_type_cd,fundng_pool_type_rfrnc,fundng_pool_type_cd,HIGH,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,geo_ansi_state_cd,geo_ansi_state_rfrnc,geo_ansi_state_cd,HIGH,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,mdcd_chip_div_cd,mdcd_chip_div_rfrnc,mdcd_chip_div_cd,HIGH,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,mdcd_demo_aplctn_sgntr_lvl_cd,mdcd_demo_aplctn_sgntr_lvl_rfrnc,mdcd_demo_aplctn_sgntr_lvl_cd,HIGH,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,mdcd_demo_stus_cd,mdcd_demo_stus_rfrnc,mdcd_demo_stus_cd,HIGH,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,mntrg_eval_tchncl_drctr_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,proj_ofcr_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,ro_fincl_lead_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,ro_mntrg_lead_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,state_3rd_poc_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,state_4th_poc_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,state_5th_poc_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,state_prmry_poc_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,state_scndry_poc_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,tchncl_drctr_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmp_bak_mdcd_demo,updtd_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmplt_fil_doc,aprvd_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmplt_fil_doc,dltd_user_id,,id,LOW,,sql,sql_only
mysql_raw.tmplt_fil_doc,mdcd_demo_id,mdcd_demo,mdcd_demo_id,HIGH,,sql,sql_only
mysql_raw.tmplt_fil_doc,mdcd_demo_type_cd,mdcd_demo_type_rfrnc,mdcd_demo_type_cd,HIGH,,sql,sql_only
