from_table_qual,from_column,to_table,to_column,confidence,notes,source,prisma_status
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl_hstry,mdcd_pendg_rtro_elgblty_pgm_dtl_id,mdcd_pendg_rtro_elgblty_pgm_dtl,mdcd_pendg_rtro_elgblty_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_rtro_elgblty_pgm_dtl_hstry,mdcd_rtro_elgblty_pgm_dtl_id,mdcd_rtro_elgblty_pgm_dtl,mdcd_rtro_elgblty_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area,mdcd_pendg_scl_dtrmnt_of_hlth_pgm_dtl_id,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area,mdcd_scl_dtrmnt_of_hlth_pgm_dtl_id,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area,mdcd_scl_dtrmnt_of_hlth_pgm_plcy_area_id,mdcd_scl_dtrmnt_of_hlth_pgm_plcy_area,mdcd_scl_dtrmnt_of_hlth_pgm_plcy_area_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area,plcy_area_type_cd,plcy_area_type_rfrnc,plcy_area_type_cd,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area_hstry,mdcd_pendg_scl_dtrmnt_of_hlth_pgm_dtl_id,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area_hstry,mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area_id,mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area,mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area_hstry,mdcd_scl_dtrmnt_of_hlth_pgm_dtl_id,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area_hstry,mdcd_scl_dtrmnt_of_hlth_pgm_plcy_area_id,mdcd_scl_dtrmnt_of_hlth_pgm_plcy_area,mdcd_scl_dtrmnt_of_hlth_pgm_plcy_area_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_scl_dtrmnt_of_hlth_pgm_plcy_area_hstry,plcy_area_type_cd,plcy_area_type_rfrnc,plcy_area_type_cd,HIGH,,sql,sql_only
