document_id,legacy_id,deliverable_id,file_type_cd,origin_cd,document_type_id,reason
afb95f75-93b9-42a9-8d42-e896c3d512a9,1451,5d84172e-53bb-46b3-b409-096e45838690,,S,General File,parent deliverable not loaded
f8c1a5dc-75f2-4cb8-aaf8-feeea49ca541,1452,5d84172e-53bb-46b3-b409-096e45838690,,S,General File,parent deliverable not loaded
99b9cc43-f436-422a-aba8-2aaf95cf1066,1453,5d84172e-53bb-46b3-b409-096e45838690,,S,General File,parent deliverable not loaded
c9f40eda-0cb5-4b52-81ed-56e2c1346f2e,1454,5d84172e-53bb-46b3-b409-096e45838690,,S,General File,parent deliverable not loaded
49c63525-8643-44b0-ba2d-93dc3ba92866,1455,5d84172e-53bb-46b3-b409-096e45838690,,S,General File,parent deliverable not loaded
4ef770d3-fb54-48a8-a12a-db58d027492b,1456,5d84172e-53bb-46b3-b409-096e45838690,,S,General File,parent deliverable not loaded
be3a3f39-8d72-4a5a-846a-36bb12c4f63e,1543,abe6b126-e3cf-4064-b7e2-1e4154e90224,,S,General File,parent deliverable not loaded
474fb48b-dc29-474d-9428-dd34ffe020e6,1965,080865b1-21f1-4878-817d-aec7cb76dd6e,,S,General File,parent deliverable not loaded
d20883d7-6edb-4343-94ff-44c7d699ac57,2054,a1ed01b7-e1fc-446f-9355-f705864b900d,,S,General File,parent deliverable not loaded
e65f1fac-1241-4f42-8c6a-2dec5c66b160,2061,1b0cb489-c6d8-4c22-b63b-1d98f26d5b0e,,S,General File,parent deliverable not loaded
080d05c4-e824-42d2-b952-fd0a473cdfd1,2125,9f178ae3-dce5-4072-90cb-0f07eb076f14,,S,General File,parent deliverable not loaded
1699bbd3-885f-4d83-aaa6-0c2b31202405,2190,96c40921-bf32-48c1-85ee-18ab37a72e24,,C,General File,parent deliverable not loaded
8d0389ee-1af4-4b4f-8c7f-6ee4a7053558,2288,f213ba16-a255-4c70-a73e-df54c56ba746,,S,General File,parent deliverable not loaded
0d3cdd4b-1044-4074-a91e-4bc22aaf642e,2335,0d7007fb-1dd1-4cb4-b524-0e11b69e2f7b,,S,General File,parent deliverable not loaded
8c63d636-5822-42d2-9f87-3cd7a0183b4e,2394,d5811f7a-3b09-4fef-9133-cc052307661b,,S,General File,parent deliverable not loaded
4da9117c-3c53-42b2-a71b-acb31381613b,2550,e7e08910-7d56-43fc-b0b5-641bdc55f346,,S,General File,parent deliverable not loaded
4d0c2641-25a8-4941-a78e-a0c8ff70aed5,2592,3a8aa282-1869-4e9e-8f66-82ba4c13177d,,C,General File,parent deliverable not loaded
704dc8f2-4b05-4d65-9581-64493eef5a17,2832,303891fc-44d1-4236-9ab6-ab4a1207d672,,S,General File,parent deliverable not loaded
4d285ff3-9df7-4ce5-ae6c-a74e3610c896,3033,216158db-13b0-4335-ab6b-cfbd91f32e20,,S,General File,parent deliverable not loaded
8a5de801-ced7-4148-a62d-340af127a6cb,3439,ae5b6bd2-6ecc-4170-a347-717dfee2d43c,,S,General File,parent deliverable not loaded
c5976138-46f1-47d4-9212-5dd01ab99b75,3803,a94f0667-7e86-4e99-afb8-dc965eecbbbd,,C,General File,parent deliverable not loaded
66860ef2-9cd1-4be4-b5cf-32e40c64cac0,4156,bf6cd790-d571-47ef-b056-f009295ea8f7,,C,General File,parent deliverable not loaded
70044d73-a0ad-486c-96ca-e3a6c086f37f,5142,483d2e0f-bf29-4e93-8fe8-be3575e87226,,S,General File,parent deliverable not loaded
b86f0e63-4ee8-463e-8916-a123804575cc,5414,111787dd-9b05-4273-91ee-7e198ebbc692,,C,General File,parent deliverable not loaded
d76e4966-4dad-47fd-9fed-4f3e915b8d44,5415,111787dd-9b05-4273-91ee-7e198ebbc692,,C,General File,parent deliverable not loaded
