deliverable_id,legacy_id,deliverable_type_cd,demos_deliverable_type,bdgt_ntrlty_ind,name,reason
ce9b303e-0c85-4bf0-9d2a-1f133be73786,7870,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY2Q3,BN type (57/70) but bdgt_ntrlty_ind=0
2705ceeb-bc7a-442e-819d-4136c5640608,7871,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY3Q1,BN type (57/70) but bdgt_ntrlty_ind=0
82344527-f3d2-480b-a718-b6af8b18d050,7872,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY3Q2,BN type (57/70) but bdgt_ntrlty_ind=0
82a83c9d-f2b0-458b-ad41-a866cf317281,7873,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY3Q3,BN type (57/70) but bdgt_ntrlty_ind=0
7f4a56c7-0d6c-489e-ac16-b9c12aa05d27,7874,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY4Q1,BN type (57/70) but bdgt_ntrlty_ind=0
abdbdea2-4964-43dc-9664-33481e5a48bb,7875,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY4Q2,BN type (57/70) but bdgt_ntrlty_ind=0
4f317b63-33b6-466a-b089-8657271472f7,7876,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY4Q3,BN type (57/70) but bdgt_ntrlty_ind=0
3429f971-b471-45db-9e16-928655ec8283,7877,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY5Q1,BN type (57/70) but bdgt_ntrlty_ind=0
19d1c9dc-6efe-4257-8530-d4d1e6d21570,7878,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY5Q2,BN type (57/70) but bdgt_ntrlty_ind=0
3358d3ad-47fa-41e0-8592-f5550d2b2f33,7879,57,Quarterly Budget Neutrality Report,0,Oregon Health Plan Substance Use Disorder 1115 Demonstration - Quarterly Budget Neutrality Report - DY5Q3,BN type (57/70) but bdgt_ntrlty_ind=0
0420c6e5-fbad-496f-9a7d-56fecaf880a2,8134,0,Demonstration-Specific Deliverable,0,Draft Budget Neutrality with LIP Data Rebasing Workbook - March 2027,name mentions budget neutrality but type is not BN
fe1d9487-a1d8-4860-8d96-b49db7466b12,8398,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program - Assurance of Budget Neutrality - October 2021,name mentions budget neutrality but type is not BN
41dab43c-3af4-4d4f-b0b0-ebcfe943a292,8399,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program -  - Assurance of Budget Neutrality - October 2022,name mentions budget neutrality but type is not BN
12178a7d-a031-4d0b-bfd9-a827d313083a,8400,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program -  - Assurance of Budget Neutrality - January 2023,name mentions budget neutrality but type is not BN
97d3360a-9bc1-46a3-9c84-479de1a5c1d2,8401,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program - - Assurance of Budget Neutrality - October 2025,name mentions budget neutrality but type is not BN
7c202c6e-f2f1-4725-9508-ee8e868f9e59,8402,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program -  - Assurance of Budget Neutrality - October 2024,name mentions budget neutrality but type is not BN
2f569784-6af1-480a-ad94-7e4c462472ef,8403,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program -  - Assurance of Budget Neutrality - October 2026,name mentions budget neutrality but type is not BN
2e6b9a41-e535-4ba5-9110-abbd7926d3b4,8404,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program -  - Assurance of Budget Neutrality - October 2027,name mentions budget neutrality but type is not BN
3917ad67-8840-47ce-bc61-fc7f6777a906,8405,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program -  - Assurance of Budget Neutrality - October 2028,name mentions budget neutrality but type is not BN
3060f607-0066-4077-ae3f-6baaa0141b5a,8406,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program -  - Assurance of Budget Neutrality - October 2029,name mentions budget neutrality but type is not BN
ee553d18-5f2f-40e5-aeb2-709283a18ca2,8407,0,Demonstration-Specific Deliverable,0,Texas Healthcare Transformation and Quality Improvement Program - Assurance of Budget Neutrality - October 2030,name mentions budget neutrality but type is not BN
dbd68b3c-eead-4371-9360-65ef259cd6de,10816,83,Demonstration-Specific Deliverable,0,KY HEALTH -Quarterly Budget Neutrality Report - DY6Q4 - October 2023,name mentions budget neutrality but type is not BN
9d935e07-e284-464e-8478-112edaf0b019,11449,83,Demonstration-Specific Deliverable,0,KY HEALTH - Quarterly Budget Neutrality Report- DY7 Q3 - August 2024,name mentions budget neutrality but type is not BN
