deliverable_id,legacy_id,demonstration_id,status_cd,reason
f7b162da-e896-4725-95b5-51b826c8e6d9,8720,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
6ec020dc-121e-4a6f-8667-e6658941653f,8721,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
b2780341-d0c4-47ad-93fe-b788f677559a,8722,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
9062a7cf-1bb4-4b12-a15a-ce5f4fc61b15,8723,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
114bf6bb-c46d-4b4c-9ac6-925cd01d320c,8724,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
9cb93d0e-3ade-45f4-b730-87ccd62a5f11,8725,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
b075859e-8e09-45af-8a2c-220fb7afa19a,8726,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
fa9d0c73-18b7-470c-ae12-089dfc4f45bc,8727,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
670086fb-9876-4b17-b03c-c4739305cdd3,8728,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
eddd27dd-c0a0-4d2a-a315-55827ad564aa,8729,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
a4b47bff-93ac-4e90-9b39-b5aa38f25924,8730,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
3a606205-75bf-4dd2-afa1-2bc341a60bea,8731,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
7b83b526-759c-4e8f-b2d2-d9442f3a82c6,8732,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
2ef82135-0a52-4ea4-b966-ee064c070658,8733,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
2547780f-ea15-42b8-bff3-2720e2d851dd,8734,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
f3b14781-d7e1-4f03-8409-ec2c453e3c86,8735,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
c6fa9d43-b681-43b1-b59b-f7a50b6e5c28,8736,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
2c7f6607-f014-421a-b9c8-a05c56a16568,8737,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
fec05a6e-0912-4a40-99f9-753e92df06d0,8738,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
e916f5e7-093c-402a-838b-74a58db85929,8739,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
37ea5150-4c45-4837-9273-0cec851f3ecc,8740,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
2ee4217d-089c-4058-afb0-c61327f39c32,8741,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
75551856-0af4-4f06-9342-54ff2c576ad7,8742,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
15761ce5-5509-456b-8da7-147f1755b4cf,8743,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
36ecd62d-db88-4753-bc57-4c4c8be01cd0,8744,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
6771881e-478e-4bbf-87f4-534e3028ee6f,8745,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
