legacy_id,legacy_pendg_demo_id,demonstration_id,othr_name,reason
549,418,5c9f465d-0d82-45dc-b417-a9f37d22aeca,DSH,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
550,421,ec46307f-ec7b-4e65-a15e-bb1c3d360114,Centennial Care,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
551,421,ec46307f-ec7b-4e65-a15e-bb1c3d360114,Turquoise Care Demonstration Extension,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
552,421,ec46307f-ec7b-4e65-a15e-bb1c3d360114,Traditional Health Care Practices Amendment,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
553,425,d40d1207-a663-40bd-8036-287fc06ea360,Connect Care Choice Community Partners,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
554,425,d40d1207-a663-40bd-8036-287fc06ea360,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
555,425,d40d1207-a663-40bd-8036-287fc06ea360,The Healthy Smiles Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
556,425,d40d1207-a663-40bd-8036-287fc06ea360,The Managed Care component,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
557,274,dcdd103d-91da-441d-bd81-3aebf0b31e37,Recovery Residence Support Services,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
558,426,83c3e37c-2043-4d84-ba05-c305d78b230b,Reform 2020,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
559,359,a6c8c1b0-0a39-40ae-b9cc-f00018e3e41a,Incentive Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
560,359,a6c8c1b0-0a39-40ae-b9cc-f00018e3e41a,Workforce,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
561,429,0181f074-ee92-420b-822d-aedfadcd4c7d,Foster care children,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
562,429,0181f074-ee92-420b-822d-aedfadcd4c7d,Targeted Investment payments,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
563,430,51573012-04dc-491f-b41a-0bb4b24efec9,ACO,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
564,432,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
565,433,51573012-04dc-491f-b41a-0bb4b24efec9,ACO,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
566,439,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
567,442,31afe2bf-4951-4d57-99ba-6394eb5711ba,Badger Care,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
568,443,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
569,444,71bd7472-26c4-4cd1-a1fd-d23bc11cf9e0,PHE,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
570,430,51573012-04dc-491f-b41a-0bb4b24efec9,Duals,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
571,451,c7c07fe5-ac27-4296-9440-13916aa30f3a,Increased Community Services Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
572,451,c7c07fe5-ac27-4296-9440-13916aa30f3a,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
573,453,0181f074-ee92-420b-822d-aedfadcd4c7d,Foster care children,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
574,453,0181f074-ee92-420b-822d-aedfadcd4c7d,Targeted Investment payments,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
575,456,5c9f465d-0d82-45dc-b417-a9f37d22aeca,Comprehensive demonstration,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
576,456,5c9f465d-0d82-45dc-b417-a9f37d22aeca,DSH,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
577,464,bb46787a-42bc-417f-a7b8-cdef0fda771f,CO ROP Extension COVID-19 PHE Demonstration Amendment,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
578,467,8cb9aba6-e34e-451a-81b5-49212188a3a5,Managed care and DSR,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
579,469,c7c07fe5-ac27-4296-9440-13916aa30f3a,Increased Community Services Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
580,469,c7c07fe5-ac27-4296-9440-13916aa30f3a,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
581,473,d74e616c-e6db-4410-9ce1-eadd02eca4e5,BHP,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
582,473,d74e616c-e6db-4410-9ce1-eadd02eca4e5,Community Integration Services,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
583,475,b948eef7-7d1c-44a1-bce9-264e1bd1adbd,Housing Supports,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
584,476,b948eef7-7d1c-44a1-bce9-264e1bd1adbd,Housing Supports,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
585,477,c7c07fe5-ac27-4296-9440-13916aa30f3a,Increased Community Services Program,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
586,477,c7c07fe5-ac27-4296-9440-13916aa30f3a,Other,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
587,478,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
588,479,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
589,480,e14e3eb8-f350-403c-bee3-21868690dfe4,Primary Care Network,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
590,483,b948eef7-7d1c-44a1-bce9-264e1bd1adbd,Housing Supports,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
591,487,545f6ac9-8513-46a2-870d-6b0bd5125436,Flint,free-text name is not a seeded demonstration-type tag (1115 name held per SME)
