amendment_uuid,demo_uuid,name,status_cd
42bda103-5071-4e05-95df-6a21b02309a0,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,NY Managed Care Risk Mitigation COVID-19 Amendment,
434c0046-5d1d-4558-919b-fefb46dc5e59,71e8bdde-35a5-43a0-9ebd-53cd29bb5aed,Personal Care Services COVID Amendment,
43d8b6eb-c59c-4106-ac90-f3a5145d0fc5,d40d1207-a663-40bd-8036-287fc06ea360,RI CD Temporary Extension and Amendment,
4510420f-1095-4c0c-b6ff-8f909a92ff6b,f723aea0-4ef8-4a60-b98e-0393f346cfbd,HCBS Amendment,
45460c60-fb59-4c72-87b1-253ff9674656,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Justice Involved Amendment,
4c6f2ef7-46f4-4d5b-b200-dfdc9fc7182c,51573012-04dc-491f-b41a-0bb4b24efec9,Post-PHE place of service flexibilities,
4c7e1658-26d9-4281-8923-f39602cbe62d,be915209-b5be-4971-8147-6e50ee5ed395,Pathways to Prosperity,
4c859061-4d2d-4ba2-9b25-ed2ea253a660,83c3e37c-2043-4d84-ba05-c305d78b230b,Attachment K PCS Amendment,
4d1d0cbd-d678-46bd-9271-5d820b84d247,8cb9aba6-e34e-451a-81b5-49212188a3a5,Residential Treatment and Medicaid Global Budget,
4df5b564-f29a-4d6f-888a-f45cfafc80a7,51573012-04dc-491f-b41a-0bb4b24efec9,Cost sharing assistance & CSP expansion,
4f4ca8f2-642d-486b-9e1b-403d044e0c08,f723aea0-4ef8-4a60-b98e-0393f346cfbd,ABA Amendment,
50607850-a7d0-41e6-9e1c-5eaa97970480,51573012-04dc-491f-b41a-0bb4b24efec9,DSHP Amendment,
52a0996b-7c44-494d-b776-c61ea23e8151,80a1a128-5ef0-47ba-af5a-d9bb4be2af9f,Housing Supports Amendment,
52e72c12-28f6-40b8-847a-8955b3e9e17e,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,COVID-19 Amendment,
532eb869-f195-47a4-85d4-c9cd60d5b74d,0181f074-ee92-420b-822d-aedfadcd4c7d,Parents as Paid Caregivers Amendment,
563107d6-fbe5-4d2e-b9c0-82224b7b799f,be915209-b5be-4971-8147-6e50ee5ed395,Life360 HOMEs,
563f2f45-f01b-4496-97ed-b87c3c7df7da,a5380e32-3927-46eb-a048-f48664ffb809,Nevada’s Treatment of Substance Use Disorders (SUDs) and Serious Mental Illness (SMI) Transformation Project,
592546ba-edaa-4798-a4ba-8ef560f70d8a,232ce729-df65-41ad-ae63-40d269cd34aa,Cost sharing,
59c17cc5-53df-493c-9fe7-8c60fc74b2e9,d40d1207-a663-40bd-8036-287fc06ea360,Serious Mental Illness Amendment,
5a771745-7b29-42b9-b42a-67ae2458aa9f,0b49419b-eb17-4fb1-99e2-79f58fca2b75,Budget Neutrality CAP Amendment,
5b401019-3ea0-4a2b-b244-522d987c44d4,43f0f178-3151-4e8f-9836-5c92522c971f,Managed Care Risk Mitigation COVID-19 PHE Amendment,
5c691bac-63fb-49b2-8ba2-64943643c0f9,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,SUD,
5d3e70d1-a912-40f5-a96f-2972c859d992,0181f074-ee92-420b-822d-aedfadcd4c7d,Substance Use Disorder and Serious Mental Illness Amendment,
5fe23d01-4b5e-4219-af15-0704686827fc,e14e3eb8-f350-403c-bee3-21868690dfe4,Traditional Healing Services,
62752f90-fcb7-4eba-9d0d-64cfd883a3f6,e14e3eb8-f350-403c-bee3-21868690dfe4,Family Planning Services,
644cea4d-9889-4f33-8e94-aba05cac72c7,e14e3eb8-f350-403c-bee3-21868690dfe4,Extended Postpartum Coverage,
64d33085-d365-4e7c-9a9a-03f009e60a7d,fdf14feb-7061-4c29-b811-3421897765e1,CT SUD Reentry HSRN Amendment,
64d488e8-b0ea-4975-8cab-b5e1c5e7081e,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Managed Care and Long Term Services & Supports Amendment,
658036b5-c984-434a-b72d-88cfcafee003,31afe2bf-4951-4d57-99ba-6394eb5711ba,SMI Amendment,
65e2a59a-dd59-4fdb-abc6-741972bc1a84,bf354cb7-af95-45ad-9efa-9e9c76184a8a,Illinois managed care risk mitigation COVID-19 PHE amendment,
661424ae-5057-4909-bdf3-9ae7ec847d24,dac3f05e-1815-4d03-8066-5aa5c1c7ff4a,Reasonable Opportunity Period,
685474b8-5a90-49b6-aa6c-59b65628eaf9,cfd0656a-ae45-41c2-bb82-62df6645076f,Michigan Behavioral Health 1115 Demonstration Amendment,
68fff0c7-741d-465d-971e-9c3aae683fa3,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,COVID- eFMAP CHIP,
6c913f9b-c332-4952-a70d-1a6231261340,71e8bdde-35a5-43a0-9ebd-53cd29bb5aed,FFCY,
6e992441-2a89-4294-a7f4-9becec15e22b,dcdd103d-91da-441d-bd81-3aebf0b31e37,Reentry Justice-involved Amendment,
6eb1f8a6-6dcb-4f27-990f-3c938fd2478d,545f6ac9-8513-46a2-870d-6b0bd5125436,Managed Care Risk Mitigation COVID-19 PHE Amendment,
