comment_id,legacy_id,deliverable_id,source,origin_cd,reason
e37f4736-fd0a-4795-befd-769dbb85402b,81,f9ba9e84-72e1-4661-8d7e-7c0839626bbf,dlvrbl,C,parent deliverable not loaded
0065b240-cd87-4f0f-af09-45e6aee532e4,84,5bc798be-21c2-4047-9b55-46de02e80b6f,dlvrbl,C,parent deliverable not loaded
cd436e0f-c73b-49e2-ae20-e2dccbe8bd92,85,0f79c9f7-7577-469b-a5fe-0c5cf5b7387e,dlvrbl,C,parent deliverable not loaded
59d3eb05-c10f-4f73-80fd-16d789652fc1,88,abe6b126-e3cf-4064-b7e2-1e4154e90224,dlvrbl,C,parent deliverable not loaded
d766f654-769a-44ba-bca8-5d6fcff616e1,91,d5811f7a-3b09-4fef-9133-cc052307661b,dlvrbl,C,parent deliverable not loaded
cec9ec24-1b35-4cfd-b6a5-02b73603c094,95,df293c70-85c0-4bed-94ed-6ff7a1040a03,dlvrbl,C,parent deliverable not loaded
970f201d-7425-427b-a000-fa81db659993,96,fa6aa99a-006a-46a8-a9e0-11c6288ae53e,dlvrbl,C,parent deliverable not loaded
e0517e6f-1a4c-4ad5-a498-c342113a9caf,98,900487ea-c198-4c10-84d4-9c7511dd52a1,dlvrbl,C,parent deliverable not loaded
f71acfe6-caf9-4c51-8ba3-f6dba8844f50,107,109b4943-027e-49e2-ad1b-017b296f31ca,dlvrbl,C,parent deliverable not loaded
0a09191a-7e82-430c-b403-dd6af7303285,108,23beea56-88bd-4a4c-92ec-1f2e037c936e,dlvrbl,C,parent deliverable not loaded
ba630935-80d9-4bfb-be2e-11371d8c363d,113,22cd24f4-25ad-44fb-9119-2f6c84699ca2,dlvrbl,C,parent deliverable not loaded
bdde303e-471e-4288-84d7-0e4b701c0c49,114,e581c4a1-f71c-4e66-98c2-3d591307def4,dlvrbl,C,parent deliverable not loaded
84679c1f-1290-4c77-8302-386d303c7af5,116,b69b9ab4-5014-494f-ab13-b4d1fd403463,dlvrbl,C,parent deliverable not loaded
29ed37da-e65f-4283-8891-6578177714b8,119,00998fd1-50fe-4d4c-b9a0-aac330e315d2,dlvrbl,C,parent deliverable not loaded
d38403d0-03f7-4031-8ee8-a60f0a6575d0,120,cee6e8f3-8d75-4017-a77e-50d63e522649,dlvrbl,C,parent deliverable not loaded
0de2c348-0dfe-45f8-9e31-b12eeac7bac4,121,84202497-b0b2-4955-a488-1c3b78901408,dlvrbl,C,parent deliverable not loaded
b5d4f000-7493-477a-a54f-fb77d73c808d,123,d9689c8b-a6a4-4891-8704-148f95b64773,dlvrbl,C,parent deliverable not loaded
