legacy_int_cd,legacy_name,demos_text_id,notes
1,Pending,Under Review,SME-ratified 2026-07-10 (Under Review confirmed over Pre-Submission)
2,Approved,Approved,DDL-confirmed identity (application_status seed)
3,Withdrawn,Withdrawn,DDL-confirmed identity (application_status seed)
4,Disapproved,Denied,Disapproved approx Denied (semantic approximation)
