legacy_int_cd,legacy_name,demos_text_id,notes
1,Demonstration,Demonstration,DDL-confirmed identity (application_type seed)
2,Amendment,Amendment,DDL-confirmed identity (application_type seed)
3,Extension,Extension,DDL-confirmed identity (application_type seed)
